email,name,G_name,G_W,C_W,phone,batch
student1@school.edu,Student Number 1,Guarduian 1,917825457820,917825457820,917825457820,BATCH-1
student2@school.edu,Student Number 2,Guarduian 2,917825457820,917825457820,917825457820,BATCH-1
student3@school.edu,Student Number 3,Guarduian 3,917825457820,917825457820,917825457820,BATCH-1
student4@school.edu,Student Number 4,Guarduian 4,917825457820,917825457820,917825457820,BATCH-1
student5@school.edu,Student Number 5,Guarduian 5,917825457820,917825457820,917825457820,BATCH-1
student6@school.edu,Student Number 6,Guarduian 6,917825457820,917825457820,917825457820,BATCH-1
student7@school.edu,Student Number 7,Guarduian 7,917825457820,917825457820,917825457820,BATCH-1
student8@school.edu,Student Number 8,Guarduian 8,917825457820,917825457820,917825457820,BATCH-1
student9@school.edu,Student Number 9,Guarduian 9,917825457820,917825457820,917825457820,BATCH-1
student10@school.edu,Student Number 10,Guarduian 10,917825457820,917825457820,917825457820,BATCH-1
